Cell_id,species,paper,Age,stage
D14A1S13,human,Xiang,D14,late post
D14A1S14,human,Xiang,D14,late post
D14A1S15,human,Xiang,D14,late post
D14A1S16,human,Xiang,D14,late post
D14A1S17,human,Xiang,D14,late post
D14A1S18,human,Xiang,D14,late post
D14A1S19,human,Xiang,D14,late post
D14A1S2,human,Xiang,D14,late post
D14A1S20,human,Xiang,D14,late post
D14A1S21,human,Xiang,D14,late post
D14A1S22,human,Xiang,D14,late post
D14A1S23,human,Xiang,D14,late post
D14A1S24,human,Xiang,D14,late post
D14A1S25,human,Xiang,D14,late post
D14A1S26,human,Xiang,D14,late post
D14A1S27,human,Xiang,D14,late post
D14A1S28,human,Xiang,D14,late post
D14A1S29,human,Xiang,D14,late post
